OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape__Area,Shape__Length,population,pop_2020,popchange10to20,area_km2,area_hectares,pop_growth_rate,pop_growth_density,JoinKey,less than high school,commuting time,GEOID,citizen ratio,unemployment,unrelated individual,per capita income,GINI index,gross rent,%structure early built,median structure year,facility density,pop_density,tree_count,good_tree_count,ComFAR,ResFAR,assesstot,NumFloors,Avr floor area,building_count,avr height,building density,growth_classify,growth_classify2,pop change type,tree density,good tree density,popchange10to20_binary
24,170,3,Brooklyn,17000,3017000,I,BK27,Bath Beach,4017,2249706.41893005,7327.42713161117,3254,3604,350,0.20900447543785844,20.900447543785845,0.107559926244622,16.746052890339307,Brooklyn_17000,0.228823766,49.75630858,14000US36047017000,0.844491783,6.9,31.3,25531,0.401,1055,0.9548872180451128,1939,0.67,155.69044601475457,159,145,0.14409287153154404,0.9470921875918376,59071.65957446808,1.9413475177304966,1492.1007927519818,646,25.728967613281736,30.908429049026264,2,2,1,7.607492598754142,6.93765048314057,1
25,188,3,Brooklyn,18800,3018800,I,BK28,Bensonhurst West,4017,1885932.52500916,5864.28942652589,2640,2955,315,0.175208789370926,17.520878937092597,0.11931818181818182,17.978550113323873,Brooklyn_18800,0.259384023,47.21948357,14000US36047018800,0.853365385,1.2,13.3,26930,0.345,1328,0.7957957957957958,1939,1.027,150.67737237833342,214,117,0.07381386558801101,0.975443453466397,38535.532731376974,2.289503386004515,1248.08084791718,646,24.07089696343653,36.870296422880074,2,2,1,12.21399912460733,6.677747184948868,1
26,190,3,Brooklyn,19000,3019000,E,BK28,Bensonhurst West,4017,2291793.60801697,6614.31879917436,4782,4853,71,0.21291450156560057,21.291450156560057,0.014847344207444584,3.3346718742933703,Brooklyn_19000,0.392641928,54.09247649,14000US36047019000,0.6612529,6.5,29.1,16310,0.388,1051,0.7552363853979653,1939,0.751,224.59719581508307,141,89,0.19141174486546544,1.0878632863005229,66660.5905511811,2.3188976377952755,1642.060271646859,609,27.425053897848933,28.60303058372764,1,1,1,6.622376539089651,4.1800816452409855,1
27,194,3,Brooklyn,19400,3019400,E,BK30,Dyker Heights,4013,1920211.71429443,6220.29263358412,3305,3570,265,0.17839342889309542,17.839342889309542,0.08018154311649017,14.854807245103444,Brooklyn_19400,0.453242565,53.6515528,14000US36047019400,0.622383045,13.1,35.7,16232,0.464,1064,0.7466216216216216,1939,1.962,185.26467149081844,221,155,0.29318567028047215,0.8302879766270543,83986.13783783784,2.143918918918919,1766.4758903246138,438,26.982675616803654,24.552473861718145,2,2,1,12.388348683652307,8.688660841475599,1
28,195,3,Brooklyn,19500,3019500,I,BK69,Clinton Hill,4004,1475082.64692688,4887.71692486529,3366,3684,318,0.13703960314744795,13.703960314744796,0.0944741532976827,23.20497087676527,Brooklyn_19500,0.12694947,43.38800425,14000US36047019500,0.917492633,5.7,28.1,36871,0.49,1146,0.9227249618708694,1939,2.846,245.62242758236445,286,31,0.33851425266656104,2.1872349518567855,198733.6024590164,3.2264344262295084,3017.8443950460464,274,42.100706812481754,19.9942201894141,2,2,1,20.8698794677826,2.26211980245196,1
29,196,3,Brooklyn,19600,3019600,E,BK30,Dyker Heights,4013,2027285.78970337,5718.1678614394,4353,4691,338,0.1883409317208122,18.834093172081218,0.07764759935676545,17.946178608749555,Brooklyn_19600,0.268024572,39.36880824,14000US36047019600,0.715707486,3.2,24.8,17206,0.378,1116,0.8801324503311259,1939,0.85,231.1234185913811,224,137,0.26503288999442687,1.107690255222914,79290.9862475442,2.2465618860510808,1663.7490161783996,661,24.34353810797277,35.09592917273212,2,2,1,11.893325468520414,7.274042808871861,1
30,198,3,Brooklyn,19800,3019800,E,BK30,Dyker Heights,4013,1450201.52635193,5279.39727321999,1702,2061,359,0.13472807240267337,13.472807240267336,0.2109283196239718,26.64626559244653,Brooklyn_19800,0.165709598,36.82575758,14000US36047019800,0.901012373,10.7,14.2,19704,0.432,1063,0.9111111111111111,1939,0.965,126.32853492574928,97,67,0.13422333886780438,0.7985670244173243,37999.032608695656,2.2377717391304346,1109.9684274438373,523,24.473867700497134,38.81893288258923,2,2,1,7.199687360633185,4.97297992950952,1
31,204,3,Brooklyn,20400,3020400,I,BK30,Dyker Heights,4013,1450945.91583252,5280.33883590501,1708,2040,332,0.1347972284185886,13.47972284185886,0.19437939110070257,24.629586520060602,Brooklyn_20400,0.14011209,39.23666667,14000US36047020400,0.93637455,4.7,0,29593,0.369,1084,0.9864661654135338,1939,0.223,126.7088366754925,172,82,0.0034679545697951356,0.9926734359779887,29243.129310344826,2.0921336206896552,1006.048931238733,725,22.829620475724138,53.78448863567451,2,2,1,12.759906269428987,6.083211128448704,1
32,212,3,Brooklyn,21200,3021200,E,BK30,Dyker Heights,4013,2054324.47703552,5986.10522175891,4643,5278,635,0.1908529068900309,19.085290689003088,0.13676502261468879,33.271696530453475,Brooklyn_21200,0.420471281,50.89081081,14000US36047021200,0.615768226,11.2,24.1,18773,0.417,990,0.9352750809061489,1939,0.996,243.27635746597713,237,191,0.23162623390041107,1.074169428474549,63218.80694143167,2.0976138828633406,1780.147880041365,648,22.641405083626545,33.95284937280921,2,2,1,12.417940279870036,10.007707145380493,1
33,222,3,Brooklyn,22200,3022200,E,BK88,Borough Park,4014,1896474.10510254,5742.179476,4693,5633,940,0.17618813378634127,17.618813378634126,0.20029831664180694,53.352060652388396,Brooklyn_22200,0.265946502,38.6960199,14000US36047022200,0.905712701,10.5,25.3,18812,0.599,1090,0.6334431630971994,1941,3.122,266.3630006826157,153,40,0.38359966711364313,1.4707691370555034,106889.81062355658,2.636258660508083,1973.4918966272448,462,34.572781525995666,26.221970235535572,2,2,1,8.683899233846196,2.2703004532931232,1
34,235,3,Brooklyn,23500,3023500,E,BK69,Clinton Hill,4004,1523726.1139679,4958.03567809801,3928,5921,1993,0.1415587271659598,14.155872716595981,0.5073828920570265,140.78962420052406,Brooklyn_23500,0.116141732,41.55988315,14000US36047023500,0.918741355,4.8,47.2,20293,0.491,1498,0.527927927927928,1939,5.157,277.48200896119346,102,89,0.5381127013035161,1.532029880923488,228980.63486842104,2.9078947368421053,2444.2579185520362,292,43.56178359438356,20.627481317889128,2,2,1,7.205490049399627,6.287143278397713,1
35,236,3,Brooklyn,23600,3023600,E,BK88,Borough Park,4014,1828207.74700928,6242.98107646783,5600,6548,948,0.16984598432040313,16.984598432040315,0.1692857142857143,55.815273101285754,Brooklyn_23600,0.287843137,31.55898021,14000US36047023600,0.902115879,6.2,35.8,16990,0.536,1149,0.7252619324796274,1939,2.708,329.710474016034,224,97,0.4790739352064397,1.9999976294460726,199952.51873198847,2.9322766570605188,3083.372972972973,366,35.420650863387976,21.548934551762223,2,2,1,13.18841896064136,5.711056424920589,1
36,238,3,Brooklyn,23800,3023800,E,BK88,Borough Park,4014,1828765.83665466,6244.55673067681,4590,5414,824,0.16989783252272786,16.989783252272787,0.17952069716775598,48.49973585682857,Brooklyn_23800,0.237043331,32.40345081,14000US36047023800,0.951458424,6.3,44.3,15444,0.505,1064,0.5941011235955056,1950,2.708,270.16236357141156,267,128,0.32136092788659093,1.6738980631408609,132801.95343137256,2.689950980392157,2278.1321184510252,422,33.647079251327014,24.838456955802982,2,2,1,15.71532703127819,7.533939550575312,1
37,240,3,Brooklyn,24000,3024000,E,BK88,Borough Park,4014,1827206.28106689,6240.4593495739,4693,5165,472,0.16975294512995728,16.975294512995728,0.10057532495205626,27.80511405199199,Brooklyn_24000,0.265250965,34.57656827,14000US36047024000,0.886878864,9.6,19.5,18764,0.501,973,0.6170068027210884,1949,2.887,276.460593741522,218,145,0.19188298767103618,1.6457135823742999,80627.84938271606,2.6858024691358025,2053.2144334635714,441,31.355583678594105,25.9789307138315,2,2,1,12.842192507064096,8.541825291395844,1
38,242,3,Brooklyn,24200,3024200,E,BK88,Borough Park,4014,2061125.06248474,6964.54947819407,2984,3289,305,0.19148470168001983,19.14847016800198,0.10221179624664879,15.928165400370716,Brooklyn_24200,0.242105263,36.79858657,14000US36047024200,0.901216366,4.5,14.6,20485,0.492,1177,0.630407911001236,1943,3.603,155.83490345805316,218,192,0.3382323301480238,0.9498917630695901,100334.36476426799,2.2022332506203472,1879.4940845070423,450,30.225082819155556,23.5005719021863,2,2,1,11.384721499281364,10.026910678266155,1
39,245,3,Brooklyn,24500,3024500,E,BK75,Bedford,4003,1795931.55403137,5582.22256323389,3946,4257,311,0.16684742916417636,16.684742916417637,0.07881398884946782,18.63978375681047,Brooklyn_24500,0.160089352,46.27368421,14000US36047024500,0.833803539,5.8,16.3,23873,0.404,1049,0.8939617083946981,1939,2.937,236.50349422628332,143,90,0.21954087188732654,1.5068884089320447,48669.44669117647,2.7950367647058822,1374.2104570864847,532,38.88206757593985,31.885417873386398,2,2,1,8.57070442837266,5.394149640234541,1
40,246,3,Brooklyn,24600,3024600,E,BK88,Borough Park,4014,1845582.85391235,6796.31333584263,3256,3436,180,0.17146018387701906,17.146018387701908,0.05528255528255528,10.498064094525068,Brooklyn_24600,0.199794027,43.3003581,14000US36047024600,0.893072289,9.4,25.2,19313,0.457,1011,0.8367924528301887,1939,1.283,189.89831495429792,105,32,0.06349664431682267,1.0192603067411876,37846.23643410853,2.0339147286821704,1286.9652215340639,709,22.104441921537376,41.35070801676819,2,1,1,6.1238707218062896,1.8663225056933455,1
41,249,3,Brooklyn,24900,3024900,E,BK75,Bedford,4003,1813352.6723938,5777.65499705732,3823,4264,441,0.1684659033234012,16.84659033234012,0.11535443369081873,26.177403931608616,Brooklyn_24900,0.161195131,47.14071856,14000US36047024900,0.845559846,10,34.8,21649,0.441,1040,0.9149590163934426,1939,5.52,226.93019326653004,172,151,0.36602431219515363,1.4631894592481263,62965.44094488189,2.8848425196850394,1537.2173319686115,525,40.26938911478096,31.16357610905788,2,2,1,10.209781125253247,8.963238080890932,1
42,252,3,Brooklyn,25200,3025200,E,BK28,Bensonhurst West,4017,1950979.09005737,6686.60698462047,4786,5300,514,0.18125181040359983,18.125181040359983,0.10739657333890514,28.358337434283165,Brooklyn_25200,0.304216107,45.54083333,14000US36047025200,0.768587691,8.6,28.2,18654,0.406,1086,0.8782742681047766,1939,1.103,264.0525349425666,214,74,0.21292936599556164,1.373427109795005,82212.1801242236,2.1728778467908905,1939.1624583134826,578,25.12404670979239,31.889336647890406,2,2,1,11.806778620499216,4.082717840733374,1
43,258,3,Brooklyn,25800,3025800,E,BK28,Bensonhurst West,4017,1832115.73390198,6257.55451737007,4597,5073,476,0.17020904802669565,17.020904802669563,0.1035457907330868,27.965610848451725,Brooklyn_25800,0.265395436,47.79473684,14000US36047025800,0.709512095,7.8,9.2,21291,0.487,1014,0.8880377136122569,1939,1.528,270.0796493074214,210,39,0.13016343946739306,1.3899847291406728,63367.15111111111,2.1805555555555554,1951.856305732484,656,22.672401958125,38.540841841563726,2,2,1,12.337769491963996,2.2913000485075994,1
44,260,3,Brooklyn,26000,3026000,E,BK28,Bensonhurst West,4017,1753286.16162109,5699.18915516256,3649,3656,7,0.1628855442730841,16.288554427308412,0.0019183337900794738,0.42974961536575773,Brooklyn_26000,0.289600702,53.12410587,14000US36047026000,0.716926632,11.4,20.8,18720,0.423,1118,0.8726968174204355,1939,0.246,224.02233520994997,169,95,0.1309439259364477,1.141801956868676,46851.20892494929,2.109533468559838,1464.6490384615386,622,23.541412803954984,38.18632296535733,1,1,1,10.375383570973293,5.832316208535283,1
45,263,3,Brooklyn,26300,3026300,E,BK75,Bedford,4003,1287405.86807251,4799.55684930866,1868,2088,220,0.1196038673615404,11.960386736154039,0.11777301927194861,18.394054043000185,Brooklyn_26300,0.204355109,41.06891496,14000US36047026300,0.875208914,9.1,33.5,17428,0.471,1023,0.8522975929978118,1939,3.177,156.1822406923834,36,28,0.05969610083680967,0.8581457803139361,49484.737704918036,2.2243852459016393,1563.5578074619991,219,37.173493207990866,18.310444706441096,2,2,1,3.009936116127303,2.341061423654569,1
46,266,3,Brooklyn,26600,3026600,E,BK28,Bensonhurst West,4017,1785502.93797302,7706.99961567065,3733,3961,228,0.16587857944650747,16.587857944650747,0.06107688186445218,13.744993522417127,Brooklyn_26600,0.272619048,49.15907673,14000US36047026600,0.696616103,9.1,25,23825,0.418,1096,0.9103392568659128,1939,0.543,225.04412639992603,239,96,0.10665023887925984,1.0359056347473778,41675.7306122449,2.08265306122449,1373.9657030867222,736,21.727763240176632,44.36980365131143,2,2,1,14.408129174814444,5.787365693649317,1
